,Pokemon,Type,Species,Height,Weight,Abilities,EV Yield,Catch Rate,Base Friendship,Base Exp,Growth Rate,Egg Groups,Gender,Egg Cycles,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max,_name,id,name,pokedex_id,type1,type2,primary_color,shape,legendary,mega_evolution,alolan_form,galarian_form,gigantamax,image_fn
252,Doduo,"Normal, Flying",Twin Bird Pokémon,1.4 m (4′07″),39.2 kg (86.4 lbs),"1. Run Away, 2. Early Bird, Tangled Feet (hidden ability)",1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),62,Medium Fast,Flying,"50% male, 50% female","20 (4,884–5,140 steps)",35,180,274,85,157,295,45,85,207,35,67,185,35,67,185,75,139,273,doduo,132.0,Doduo,84.0,Normal,Flying,Brown,Legs,False,False,False,False,False,['84']
253,Dolliv,"Grass, Normal",Olive Pokémon,0.6 m (2′00″),11.9 kg (26.2 lbs),"1. Early Bird, Harvest (hidden ability)",2 Sp. Atk,"120 (15.7% with PokéBall, full HP)",50 (normal),124,Medium Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",52,214,308,53,99,225,60,112,240,78,144,280,78,144,280,33,63,181,dolliv,,,,,,,,,,,,,
254,Dondozo,Water,Big Catfish Pokémon,12.0 m (39′04″),220.0 kg (485.0 lbs),"1. Unaware, 2. Oblivious, Water Veil (hidden ability)",3 HP,"25 (3.3% with PokéBall, full HP)",50 (normal),265,Slow,Water 2,"50% male, 50% female","40 (10,024–10,280 steps)",150,410,504,100,184,328,115,211,361,65,121,251,65,121,251,35,67,185,dondozo,,,,,,,,,,,,,
255,Donphan,Ground,Armor Pokémon,1.1 m (3′07″),120.0 kg (264.6 lbs),"1. Sturdy, Sand Veil (hidden ability)","1 Attack, 1 Defense","60 (7.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,120,220,372,120,220,372,60,112,240,60,112,240,50,94,218,donphan,309.0,Donphan,232.0,Ground,,Gray,Quadruped,False,False,False,False,False,['232']
256,Dottler,"Bug, Psychic",Radome Pokémon,0.4 m (1′04″),19.5 kg (43.0 lbs),"1. Swarm, 2. Compound Eyes, Telepathy (hidden ability)",2 Sp. Def,"120 (15.7% with PokéBall, full HP)",50 (normal),117,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",50,210,304,35,67,185,80,148,284,50,94,218,90,166,306,30,58,174,dottler,1019.0,Dottler,825.0,Bug,Psychic,Yellow,Armor,False,False,False,False,False,['825']
257,Doublade,"Steel, Ghost",Sword Pokémon,0.8 m (2′07″),4.5 kg (9.9 lbs),1. No Guard,2 Defense,"90 (11.8% with PokéBall, full HP)",50 (normal),157,Medium Fast,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",59,228,322,110,202,350,150,274,438,45,85,207,49,92,216,35,67,185,doublade,822.0,Doublade,680.0,Steel,Ghost,Brown,Heads,False,False,False,False,False,"['680_1', '680_2']"
258,Dracovish,"Water, Dragon",Fossil Pokémon,2.3 m (7′07″),215.0 kg (474.0 lbs),"1. Water Absorb, 2. Strong Jaw, Sand Rush (hidden ability)",2 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),177,Slow,Undiscovered,Genderless,"35 (8,739–8,995 steps)",90,290,384,90,166,306,100,184,328,70,130,262,80,148,284,75,139,273,dracovish,1092.0,Dracovish,882.0,Water,Dragon,Green,Legs,False,False,False,False,False,['882']
259,Dracozolt,"Electric, Dragon",Fossil Pokémon,1.8 m (5′11″),190.0 kg (418.9 lbs),"1. Volt Absorb, 2. Hustle, Sand Rush (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),177,Slow,Undiscovered,Genderless,"35 (8,739–8,995 steps)",90,290,384,100,184,328,90,166,306,80,148,284,70,130,262,75,139,273,dracozolt,1090.0,Dracozolt,880.0,Electric,Dragon,Green,Upright,False,False,False,False,False,['880']
260,Dragalge,"Poison, Dragon",Mock Kelp Pokémon,1.8 m (5′11″),81.5 kg (179.7 lbs),"1. Poison Point, 2. Poison Touch, Adaptability (hidden ability)",2 Sp. Def,"55 (7.2% with PokéBall, full HP)",50 (normal),173,Medium Fast,"Dragon, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",65,240,334,75,139,273,90,166,306,97,179,322,123,225,379,44,83,205,dragalge,834.0,Dragalge,691.0,Poison,Dragon,Brown,Blob,False,False,False,False,False,['691']
261,Dragapult,"Dragon, Ghost",Stealth Pokémon,3.0 m (9′10″),50.0 kg (110.2 lbs),"1. Clear Body, 2. Infiltrator, Cursed Body (hidden ability)",3 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),300,Slow,"Amorphous, Dragon","50% male, 50% female","40 (10,024–10,280 steps)",88,286,380,120,220,372,75,139,273,100,184,328,75,139,273,142,260,421,dragapult,1098.0,Dragapult,887.0,Dragon,Ghost,Green,Upright,False,False,False,False,False,['887']
262,Dragonair,Dragon,Dragon Pokémon,4.0 m (13′01″),16.5 kg (36.4 lbs),"1. Shed Skin, Marvel Scale (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),147,Slow,"Dragon, Water 1","50% male, 50% female","40 (10,024–10,280 steps)",61,232,326,84,155,293,65,121,251,70,130,262,70,130,262,70,130,262,dragonair,216.0,Dragonair,148.0,Dragon,,Blue,Squiggle,False,False,False,False,False,['148']
263,Dragonite,"Dragon, Flying",Dragon Pokémon,2.2 m (7′03″),210.0 kg (463.0 lbs),"1. Inner Focus, Multiscale (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),300,Slow,"Dragon, Water 1","50% male, 50% female","40 (10,024–10,280 steps)",91,292,386,134,245,403,95,175,317,100,184,328,100,184,328,80,148,284,dragonite,217.0,Dragonite,149.0,Dragon,Flying,Brown,Upright,False,False,False,False,False,['149']
264,Drakloak,"Dragon, Ghost",Caretaker Pokémon,1.4 m (4′07″),11.0 kg (24.3 lbs),"1. Clear Body, 2. Infiltrator, Cursed Body (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),144,Slow,"Amorphous, Dragon","50% male, 50% female","40 (10,024–10,280 steps)",68,246,340,80,148,284,50,94,218,60,112,240,50,94,218,102,188,333,drakloak,1097.0,Drakloak,886.0,Dragon,Ghost,Green,Arms,False,False,False,False,False,['886']
265,Drampa,"Normal, Dragon",Placid Pokémon,3.0 m (9′10″),185.0 kg (407.9 lbs),"1. Berserk, 2. Sap Sipper, Cloud Nine (hidden ability)",2 Sp. Atk,"70 (9.1% with PokéBall, full HP)",50 (normal),170,Medium Fast,"Dragon, Monster","50% male, 50% female","20 (4,884–5,140 steps)",78,266,360,60,112,240,85,157,295,135,247,405,91,168,309,36,69,188,drampa,964.0,Drampa,780.0,Normal,Dragon,White,Squiggle,False,False,False,False,False,['780']
266,Drapion,"Poison, Dark",Ogre Scorp Pokémon,1.3 m (4′03″),61.5 kg (135.6 lbs),"1. Battle Armor, 2. Sniper, Keen Eye (hidden ability)",2 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),175,Slow,"Bug, Water 3","50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,90,166,306,110,202,350,60,112,240,75,139,273,95,175,317,drapion,565.0,Drapion,452.0,Poison,Dark,Purple,Armor,False,False,False,False,False,['452']
267,Dratini,Dragon,Dragon Pokémon,1.8 m (5′11″),3.3 kg (7.3 lbs),"1. Shed Skin, Marvel Scale (hidden ability)",1 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),60,Slow,"Dragon, Water 1","50% male, 50% female","40 (10,024–10,280 steps)",41,192,286,64,119,249,45,85,207,50,94,218,50,94,218,50,94,218,dratini,215.0,Dratini,147.0,Dragon,,Blue,Squiggle,False,False,False,False,False,['147']
268,Drednaw,"Water, Rock",Bite Pokémon,1.0 m (3′03″),115.5 kg (254.6 lbs),"1. Strong Jaw, 2. Shell Armor, Swift Swim (hidden ability)",2 Attack,"75 (9.8% with PokéBall, full HP)",50 (normal),170,Medium Fast,"Monster, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,115,211,361,90,166,306,48,90,214,68,126,258,74,137,271,drednaw,1029.0,Drednaw,834.0,Water,Rock,Green,Quadruped,False,False,False,False,False,['834_1']
269,Dreepy,"Dragon, Ghost",Lingering Pokémon,0.5 m (1′08″),2.0 kg (4.4 lbs),"1. Clear Body, 2. Infiltrator, Cursed Body (hidden ability)",1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),54,Slow,"Amorphous, Dragon","50% male, 50% female","40 (10,024–10,280 steps)",28,166,260,60,112,240,30,58,174,40,76,196,30,58,174,82,152,289,dreepy,1096.0,Dreepy,885.0,Dragon,Ghost,Green,Squiggle,False,False,False,False,False,['885']
270,Drifblim,"Ghost, Flying",Blimp Pokémon,1.2 m (3′11″),15.0 kg (33.1 lbs),"1. Aftermath, 2. Unburden, Flare Boost (hidden ability)",2 HP,"60 (7.8% with PokéBall, full HP)",50 (normal),174,Fluctuating,Amorphous,"50% male, 50% female","30 (7,454–7,710 steps)",150,410,504,80,148,284,44,83,205,90,166,306,54,101,227,80,148,284,drifblim,536.0,Drifblim,426.0,Ghost,Flying,Purple,Arms,False,False,False,False,False,['426']
271,Drifloon,"Ghost, Flying",Balloon Pokémon,0.4 m (1′04″),1.2 kg (2.6 lbs),"1. Aftermath, 2. Unburden, Flare Boost (hidden ability)",1 HP,"125 (16.3% with PokéBall, full HP)",50 (normal),70,Fluctuating,Amorphous,"50% male, 50% female","30 (7,454–7,710 steps)",90,290,384,50,94,218,34,65,183,60,112,240,44,83,205,70,130,262,drifloon,535.0,Drifloon,425.0,Ghost,Flying,Purple,Arms,False,False,False,False,False,['425']
272,Drilbur,Ground,Mole Pokémon,0.3 m (1′00″),8.5 kg (18.7 lbs),"1. Sand Rush, 2. Sand Force, Mold Breaker (hidden ability)",1 Attack,"120 (15.7% with PokéBall, full HP)",50 (normal),66,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,85,157,295,40,76,196,30,58,174,45,85,207,68,126,258,drilbur,651.0,Drilbur,529.0,Ground,,Gray,Upright,False,False,False,False,False,['529']
273,Drizzile,Water,Water lizard Pokémon,0.7 m (2′04″),11.5 kg (25.4 lbs),"1. Torrent, Sniper (hidden ability)",2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),147,Medium Slow,"Field, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",65,240,334,60,112,240,55,103,229,95,175,317,55,103,229,90,166,306,drizzile,1009.0,Drizzile,817.0,Water,,Blue,Upright,False,False,False,False,False,['817']
274,Drowzee,Psychic,Hypnosis Pokémon,1.0 m (3′03″),32.4 kg (71.4 lbs),"1. Insomnia, 2. Forewarn, Inner Focus (hidden ability)",1 Sp. Def,"190 (24.8% with PokéBall, full HP)",50 (normal),66,Medium Fast,Human-Like,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,48,90,214,45,85,207,43,81,203,90,166,306,42,80,201,drowzee,148.0,Drowzee,96.0,Psychic,,Yellow,Humanoid,False,False,False,False,False,['96']
275,Druddigon,Dragon,Cave Pokémon,1.6 m (5′03″),139.0 kg (306.4 lbs),"1. Rough Skin, 2. Sheer Force, Mold Breaker (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),170,Medium Fast,"Dragon, Monster","50% male, 50% female","30 (7,454–7,710 steps)",77,264,358,120,220,372,90,166,306,60,112,240,90,166,306,48,90,214,druddigon,752.0,Druddigon,621.0,Dragon,,Red,Upright,False,False,False,False,False,['621']
276,Dubwool,Normal,Sheep Pokémon,1.3 m (4′03″),43.0 kg (94.8 lbs),"1. Fluffy, 2. Steadfast, Bulletproof (hidden ability)",2 Defense,"127 (16.6% with PokéBall, full HP)",50 (normal),172,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",72,254,348,80,148,284,100,184,328,60,112,240,90,166,306,88,162,302,dubwool,1027.0,Dubwool,832.0,Normal,,White,Quadruped,False,False,False,False,False,['832']
277,Ducklett,"Water, Flying",Water Bird Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs),"1. Keen Eye, 2. Big Pecks, Hydration (hidden ability)",1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),61,Medium Fast,"Flying, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",62,234,328,44,83,205,50,94,218,44,83,205,50,94,218,55,103,229,ducklett,710.0,Ducklett,580.0,Water,Flying,Blue,Wings,False,False,False,False,False,['580']
278,Dudunsparce Two-Segment Form,Normal,Land Snake Pokémon,3.6 m (11′10″),39.2 kg (86.4 lbs),"1. Serene Grace, 2. Run Away, Rattled (hidden ability)",2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),182,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",125,360,454,100,184,328,80,148,284,85,157,295,75,139,273,55,103,229,dudunsparce two-segment form,,,,,,,,,,,,,
279,Dudunsparce Three-Segment Form,Normal,Land Snake Pokémon,4.5 m (14′09″),47.4 kg (104.5 lbs),"1. Serene Grace, 2. Run Away, Rattled (hidden ability)",2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),182,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",125,360,454,100,184,328,80,148,284,85,157,295,75,139,273,55,103,229,dudunsparce three-segment form,,,,,,,,,,,,,
280,Dugtrio,Ground,Mole Pokémon,0.7 m (2′04″),33.3 kg (73.4 lbs),"1. Sand Veil, 2. Arena Trap, Sand Force (hidden ability)",2 Speed,"50 (6.5% with PokéBall, full HP)",50 (normal),149,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",35,180,274,100,184,328,50,94,218,50,94,218,70,130,262,120,220,372,dugtrio,83.0,Dugtrio,51.0,Ground,,Brown,Heads,False,False,False,False,False,['51']
281,Alolan Dugtrio,"Ground, Steel",Mole Pokémon,0.7 m (2′04″),66.6 kg (146.8 lbs),"1. Sand Veil, 2. Tangling Hair, Sand Force (hidden ability)",2 Attack,"50 (6.5% with PokéBall, full HP)",50 (normal),149,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",35,180,274,100,184,328,60,112,240,50,94,218,70,130,262,110,202,350,alolan dugtrio,,,,,,,,,,,,,
282,Dunsparce,Normal,Land Snake Pokémon,1.5 m (4′11″),14.0 kg (30.9 lbs),"1. Serene Grace, 2. Run Away, Rattled (hidden ability)",1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),145,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",100,310,404,70,130,262,70,130,262,65,121,251,65,121,251,45,85,207,dunsparce,278.0,Dunsparce,206.0,Normal,,Yellow,Squiggle,False,False,False,False,False,['206']
283,Duosion,Psychic,Mitosis Pokémon,0.6 m (2′00″),8.0 kg (17.6 lbs),"1. Overcoat, 2. Magic Guard, Regenerator (hidden ability)",2 Sp. Atk,"100 (13.1% with PokéBall, full HP)",50 (normal),130,Medium Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",65,240,334,40,76,196,50,94,218,125,229,383,60,112,240,30,58,174,duosion,708.0,Duosion,578.0,Psychic,,Green,Ball,False,False,False,False,False,['578']
284,Duraludon,"Steel, Dragon",Alloy Pokémon,1.8 m (5′11″),40.0 kg (88.2 lbs),"1. Light Metal, 2. Heavy Metal, Stalwart (hidden ability)",2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),187,Medium Fast,"Dragon, Mineral","50% male, 50% female","30 (7,454–7,710 steps)",70,250,344,95,175,317,115,211,361,120,220,372,50,94,218,85,157,295,duraludon,1094.0,Duraludon,884.0,Steel,Dragon,White,Upright,False,False,False,False,False,['884_1']
285,Durant,"Bug, Steel",Iron Ant Pokémon,0.3 m (1′00″),33.0 kg (72.8 lbs),"1. Swarm, 2. Hustle, Truant (hidden ability)",2 Defense,"90 (11.8% with PokéBall, full HP)",50 (normal),169,Medium Fast,Bug,"50% male, 50% female","20 (4,884–5,140 steps)",58,226,320,109,200,348,112,206,355,48,90,214,48,90,214,109,200,348,durant,763.0,Durant,632.0,Bug,Steel,Gray,Armor,False,False,False,False,False,['632']
286,Dusclops,Ghost,Beckon Pokémon,1.6 m (5′03″),30.6 kg (67.5 lbs),"1. Pressure, Frisk (hidden ability)","1 Defense, 1 Sp. Def","90 (11.8% with PokéBall, full HP)",35 (lower than normal),159,Fast,Amorphous,"50% male, 50% female","25 (6,169–6,425 steps)",40,190,284,70,130,262,130,238,394,60,112,240,130,238,394,25,49,163,dusclops,452.0,Dusclops,356.0,Ghost,,Black,Humanoid,False,False,False,False,False,['356']
287,Dusknoir,Ghost,Gripper Pokémon,2.2 m (7′03″),106.6 kg (235.0 lbs),"1. Pressure, Frisk (hidden ability)","1 Defense, 2 Sp. Def","45 (5.9% with PokéBall, full HP)",35 (lower than normal),236,Fast,Amorphous,"50% male, 50% female","25 (6,169–6,425 steps)",45,200,294,100,184,328,135,247,405,65,121,251,135,247,405,45,85,207,dusknoir,592.0,Dusknoir,477.0,Ghost,,Black,Arms,False,False,False,False,False,['477']
288,Duskull,Ghost,Requiem Pokémon,0.8 m (2′07″),15.0 kg (33.1 lbs),"1. Levitate, Frisk (hidden ability)",1 Sp. Def,"190 (24.8% with PokéBall, full HP)",35 (lower than normal),59,Fast,Amorphous,"50% male, 50% female","25 (6,169–6,425 steps)",20,150,244,40,76,196,90,166,306,30,58,174,90,166,306,25,49,163,duskull,451.0,Duskull,355.0,Ghost,,Black,Arms,False,False,False,False,False,['355']
289,Dustox,"Bug, Poison",Poison Moth Pokémon,1.2 m (3′11″),31.6 kg (69.7 lbs),"1. Shield Dust, Compound Eyes (hidden ability)",3 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),173,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",60,230,324,50,94,218,70,130,262,50,94,218,90,166,306,65,121,251,dustox,352.0,Dustox,269.0,Bug,Poison,Green,Bug-Wings,False,False,False,False,False,['269']
290,Dwebble,"Bug, Rock",Rock Inn Pokémon,0.3 m (1′00″),14.5 kg (32.0 lbs),"1. Sturdy, 2. Shell Armor, Weak Armor (hidden ability)",1 Defense,"190 (24.8% with PokéBall, full HP)",50 (normal),65,Medium Fast,"Bug, Mineral","50% male, 50% female","20 (4,884–5,140 steps)",50,210,304,65,121,251,85,157,295,35,67,185,35,67,185,55,103,229,dwebble,685.0,Dwebble,557.0,Bug,Rock,Red,Armor,False,False,False,False,False,['557']
291,Eelektrik,Electric,EleFish Pokémon,1.2 m (3′11″),22.0 kg (48.5 lbs),1. Levitate,2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),142,Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",65,240,334,85,157,295,70,130,262,75,139,273,70,130,262,40,76,196,eelektrik,733.0,Eelektrik,603.0,Electric,,Blue,Fish,False,False,False,False,False,['603']
292,Eelektross,Electric,EleFish Pokémon,2.1 m (6′11″),80.5 kg (177.5 lbs),1. Levitate,3 Attack,"30 (3.9% with PokéBall, full HP)",50 (normal),258,Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",85,280,374,115,211,361,80,148,284,105,193,339,80,148,284,50,94,218,eelektross,734.0,Eelektross,604.0,Electric,,Blue,Fish,False,False,False,False,False,['604']
293,Eevee,Normal,Evolution Pokémon,0.3 m (1′00″),6.5 kg (14.3 lbs),"1. Run Away, 2. Adaptability, Anticipation (hidden ability)",1 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),65,Medium Fast,Field,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",55,220,314,55,103,229,50,94,218,45,85,207,65,121,251,55,103,229,eevee,195.0,Eevee,133.0,Normal,,Brown,Quadruped,False,False,False,False,False,['133']
294,Partner Eevee,Normal,Evolution Pokémon,0.3 m (1′00″),6.5 kg (14.3 lbs),—,1 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),65,Medium Fast,—,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",65,240,334,75,139,273,70,130,262,65,121,251,85,157,295,75,139,273,partner eevee,,,,,,,,,,,,,
295,Eiscue Ice Face,Ice,Penguin Pokémon,1.4 m (4′07″),89.0 kg (196.2 lbs),1. Ice Face,2 Defense,"60 (7.8% with PokéBall, full HP)",50 (normal),165,Slow,"Field, Water 1","50% male, 50% female","25 (6,169–6,425 steps)",75,260,354,80,148,284,110,202,350,65,121,251,90,166,306,50,94,218,eiscue ice face,,,,,,,,,,,,,
296,Eiscue Noice Face,Ice,Penguin Pokémon,1.4 m (4′07″),89.0 kg (196.2 lbs),1. Ice Face,2 Defense,"60 (7.8% with PokéBall, full HP)",50 (normal),165,Slow,"Field, Water 1","50% male, 50% female","25 (6,169–6,425 steps)",75,260,354,80,148,284,70,130,262,65,121,251,50,94,218,130,238,394,eiscue noice face,,,,,,,,,,,,,
297,Ekans,Poison,Snake Pokémon,2.0 m (6′07″),6.9 kg (15.2 lbs),"1. Intimidate, 2. Shed Skin, Unnerve (hidden ability)",1 Attack,"255 (33.3% with PokéBall, full HP)",50 (normal),58,Medium Fast,"Dragon, Field","50% male, 50% female","20 (4,884–5,140 steps)",35,180,274,60,112,240,44,83,205,40,76,196,54,101,227,55,103,229,ekans,35.0,Ekans,23.0,Poison,,Purple,Squiggle,False,False,False,False,False,['23']
298,Eldegoss,Grass,Cotton Bloom Pokémon,0.5 m (1′08″),2.5 kg (5.5 lbs),"1. Cotton Down, 2. Regenerator, Effect Spore (hidden ability)",2 Sp. Def,"75 (9.8% with PokéBall, full HP)",50 (normal),161,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,50,94,218,90,166,306,80,148,284,120,220,372,60,112,240,eldegoss,1025.0,Eldegoss,830.0,Grass,,Green,Blob,False,False,False,False,False,['830']
299,Electabuzz,Electric,Electric Pokémon,1.1 m (3′07″),30.0 kg (66.1 lbs),"1. Static, Vital Spirit (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),172,Medium Fast,Human-Like,"75% male, 25% female","25 (6,169–6,425 steps)",65,240,334,83,153,291,57,107,234,95,175,317,85,157,295,105,193,339,electabuzz,184.0,Electabuzz,125.0,Electric,,Yellow,Upright,False,False,False,False,False,['125']
300,Electivire,Electric,Thunderbolt Pokémon,1.8 m (5′11″),138.6 kg (305.6 lbs),"1. Motor Drive, Vital Spirit (hidden ability)",3 Attack,"30 (3.9% with PokéBall, full HP)",50 (normal),243,Medium Fast,Human-Like,"75% male, 25% female","25 (6,169–6,425 steps)",75,260,354,123,225,379,67,125,256,95,175,317,85,157,295,95,175,317,electivire,580.0,Electivire,466.0,Electric,,Yellow,Upright,False,False,False,False,False,['466']
301,Electrike,Electric,Lightning Pokémon,0.6 m (2′00″),15.2 kg (33.5 lbs),"1. Static, 2. Lightning Rod, Minus (hidden ability)",1 Speed,"120 (15.7% with PokéBall, full HP)",50 (normal),59,Slow,Field,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,45,85,207,40,76,196,65,121,251,40,76,196,65,121,251,electrike,397.0,Electrike,309.0,Electric,,Green,Quadruped,False,False,False,False,False,['309']
302,Electrode,Electric,Ball Pokémon,1.2 m (3′11″),66.6 kg (146.8 lbs),"1. Soundproof, 2. Static, Aftermath (hidden ability)",2 Speed,"60 (7.8% with PokéBall, full HP)",50 (normal),172,Medium Fast,Mineral,Genderless,"20 (4,884–5,140 steps)",60,230,324,50,94,218,70,130,262,80,148,284,80,148,284,150,274,438,electrode,154.0,Electrode,101.0,Electric,,Red,Ball,False,False,False,False,False,['101']
303,Hisuian Electrode,"Electric, Grass",Sphere Pokémon,1.2 m (3′11″),71.0 kg (156.5 lbs),"1. Soundproof, 2. Static, Aftermath (hidden ability)",2 Speed,"60 (7.8% with PokéBall, full HP)",50 (normal),172,Medium Fast,Mineral,Genderless,"20 (4,884–5,140 steps)",60,230,324,50,94,218,70,130,262,80,148,284,80,148,284,150,274,438,hisuian electrode,,,,,,,,,,,,,
304,Elekid,Electric,Electric Pokémon,0.6 m (2′00″),23.5 kg (51.8 lbs),"1. Static, Vital Spirit (hidden ability)",1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),72,Medium Fast,Undiscovered,"75% male, 25% female","25 (6,169–6,425 steps)",45,200,294,63,117,247,37,71,190,65,121,251,55,103,229,95,175,317,elekid,316.0,Elekid,239.0,Electric,,Yellow,Humanoid,False,False,False,False,False,['239']
305,Elgyem,Psychic,Cerebral Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),"1. Telepathy, 2. Synchronize, Analytic (hidden ability)",1 Sp. Atk,"255 (33.3% with PokéBall, full HP)",50 (normal),67,Medium Fast,Human-Like,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,55,103,229,55,103,229,85,157,295,55,103,229,30,58,174,elgyem,735.0,Elgyem,605.0,Psychic,,Blue,Upright,False,False,False,False,False,['605']
306,Emboar,"Fire, Fighting",Mega Fire Pig Pokémon,1.6 m (5′03″),150.0 kg (330.7 lbs),"1. Blaze, Reckless (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),238,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",110,330,424,123,225,379,65,121,251,100,184,328,65,121,251,65,121,251,emboar,622.0,Emboar,500.0,Fire,Fighting,Red,Upright,False,False,False,False,False,['500']
307,Emolga,"Electric, Flying",Sky Squirrel Pokémon,0.4 m (1′04″),5.0 kg (11.0 lbs),"1. Static, Motor Drive (hidden ability)",2 Speed,"200 (26.1% with PokéBall, full HP)",50 (normal),150,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,75,139,273,60,112,240,75,139,273,60,112,240,103,189,335,emolga,717.0,Emolga,587.0,Electric,Flying,White,Quadruped,False,False,False,False,False,['587']
308,Empoleon,"Water, Steel",Emperor Pokémon,1.7 m (5′07″),84.5 kg (186.3 lbs),"1. Torrent, Defiant (hidden ability)",3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),239,Medium Slow,"Field, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",84,278,372,86,159,298,88,162,302,111,204,353,101,186,331,60,112,240,empoleon,503.0,Empoleon,395.0,Water,Steel,Blue,Upright,False,False,False,False,False,['395']
309,Enamorus Incarnate Forme,"Fairy, Flying",Love-Hate Pokémon,1.6 m (5′03″),48.0 kg (105.8 lbs),"1. Cute Charm, Contrary (hidden ability)",3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",50 (normal),116,Slow,Undiscovered,"0% male, 100% female","20 (4,884–5,140 steps)",74,258,352,115,211,361,70,130,262,135,247,405,80,148,284,106,195,342,enamorus incarnate,,,,,,,,,,,,,
310,Enamorus Therian Forme,"Fairy, Flying",Love-Hate Pokémon,1.6 m (5′03″),48.0 kg (105.8 lbs),1. Overcoat,3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",50 (normal),116,Slow,Undiscovered,"0% male, 100% female","20 (4,884–5,140 steps)",74,258,352,115,211,361,110,202,350,135,247,405,100,184,328,46,87,210,enamorus therian,,,,,,,,,,,,,
