,Height,Weight,Catch Rate,Base Friendship,Base Exp,Growth Rate,Egg Groups,Gender,Egg Cycles,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max,_name,name,type1,type2,primary_color,shape,legendary,mega_evolution,alolan_form,galarian_form,gigantamax,_name_clean
293,0.3 m (1′00″),6.5 kg (14.3 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),65,Medium Fast,Field,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",55,220,314,55,103,229,50,94,218,45,85,207,65,121,251,55,103,229,eevee,Eevee,Normal,,Brown,Quadruped,False,False,False,False,False,eevee
294,0.3 m (1′00″),6.5 kg (14.3 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),65,Medium Fast,—,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",65,240,334,75,139,273,70,130,262,65,121,251,85,157,295,75,139,273,partner eevee,Indeedee Male,Psychic,,Purple,Upright,,,,,,partner eevee
295,1.4 m (4′07″),89.0 kg (196.2 lbs),"60 (7.8% with PokéBall, full HP)",50 (normal),165,Slow,"Field, Water 1","50% male, 50% female","25 (6,169–6,425 steps)",75,260,354,80,148,284,110,202,350,65,121,251,90,166,306,50,94,218,eiscue ice face,Regice,Ice,,Blue,Humanoid,,,,,,eiscue
296,1.4 m (4′07″),89.0 kg (196.2 lbs),"60 (7.8% with PokéBall, full HP)",50 (normal),165,Slow,"Field, Water 1","50% male, 50% female","25 (6,169–6,425 steps)",75,260,354,80,148,284,70,130,262,65,121,251,50,94,218,130,238,394,eiscue noice face,Meowstic Female,Psychic,,Blue,Upright,,,,,,eiscue noice face
297,2.0 m (6′07″),6.9 kg (15.2 lbs),"255 (33.3% with PokéBall, full HP)",50 (normal),58,Medium Fast,"Dragon, Field","50% male, 50% female","20 (4,884–5,140 steps)",35,180,274,60,112,240,44,83,205,40,76,196,54,101,227,55,103,229,ekans,Ekans,Poison,,Purple,Squiggle,False,False,False,False,False,ekans
298,0.5 m (1′08″),2.5 kg (5.5 lbs),"75 (9.8% with PokéBall, full HP)",50 (normal),161,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,50,94,218,90,166,306,80,148,284,120,220,372,60,112,240,eldegoss,Eldegoss,Grass,,Green,Blob,False,False,False,False,False,eldegoss
299,1.1 m (3′07″),30.0 kg (66.1 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),172,Medium Fast,Human-Like,"75% male, 25% female","25 (6,169–6,425 steps)",65,240,334,83,153,291,57,107,234,95,175,317,85,157,295,105,193,339,electabuzz,Electabuzz,Electric,,Yellow,Upright,False,False,False,False,False,electabuzz
300,1.8 m (5′11″),138.6 kg (305.6 lbs),"30 (3.9% with PokéBall, full HP)",50 (normal),243,Medium Fast,Human-Like,"75% male, 25% female","25 (6,169–6,425 steps)",75,260,354,123,225,379,67,125,256,95,175,317,85,157,295,95,175,317,electivire,Electivire,Electric,,Yellow,Upright,False,False,False,False,False,electivire
301,0.6 m (2′00″),15.2 kg (33.5 lbs),"120 (15.7% with PokéBall, full HP)",50 (normal),59,Slow,Field,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,45,85,207,40,76,196,65,121,251,40,76,196,65,121,251,electrike,Electrike,Electric,,Green,Quadruped,False,False,False,False,False,electrike
302,1.2 m (3′11″),66.6 kg (146.8 lbs),"60 (7.8% with PokéBall, full HP)",50 (normal),172,Medium Fast,Mineral,Genderless,"20 (4,884–5,140 steps)",60,230,324,50,94,218,70,130,262,80,148,284,80,148,284,150,274,438,electrode,Electrode,Electric,,Red,Ball,False,False,False,False,False,electrode
303,1.2 m (3′11″),71.0 kg (156.5 lbs),"60 (7.8% with PokéBall, full HP)",50 (normal),172,Medium Fast,Mineral,Genderless,"20 (4,884–5,140 steps)",60,230,324,50,94,218,70,130,262,80,148,284,80,148,284,150,274,438,hisuian electrode,Electrode,Electric,,Red,Ball,,,,,,electrode
304,0.6 m (2′00″),23.5 kg (51.8 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),72,Medium Fast,Undiscovered,"75% male, 25% female","25 (6,169–6,425 steps)",45,200,294,63,117,247,37,71,190,65,121,251,55,103,229,95,175,317,elekid,Elekid,Electric,,Yellow,Humanoid,False,False,False,False,False,elekid
305,0.5 m (1′08″),9.0 kg (19.8 lbs),"255 (33.3% with PokéBall, full HP)",50 (normal),67,Medium Fast,Human-Like,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,55,103,229,55,103,229,85,157,295,55,103,229,30,58,174,elgyem,Elgyem,Psychic,,Blue,Upright,False,False,False,False,False,elgyem
306,1.6 m (5′03″),150.0 kg (330.7 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),238,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",110,330,424,123,225,379,65,121,251,100,184,328,65,121,251,65,121,251,emboar,Emboar,Fire,Fighting,Red,Upright,False,False,False,False,False,emboar
307,0.4 m (1′04″),5.0 kg (11.0 lbs),"200 (26.1% with PokéBall, full HP)",50 (normal),150,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,75,139,273,60,112,240,75,139,273,60,112,240,103,189,335,emolga,Emolga,Electric,Flying,White,Quadruped,False,False,False,False,False,emolga
308,1.7 m (5′07″),84.5 kg (186.3 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),239,Medium Slow,"Field, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",84,278,372,86,159,298,88,162,302,111,204,353,101,186,331,60,112,240,empoleon,Empoleon,Water,Steel,Blue,Upright,False,False,False,False,False,empoleon
309,1.6 m (5′03″),48.0 kg (105.8 lbs),"3 (0.4% with PokéBall, full HP)",50 (normal),116,Slow,Undiscovered,"0% male, 100% female","20 (4,884–5,140 steps)",74,258,352,115,211,361,70,130,262,135,247,405,80,148,284,106,195,342,enamorus incarnate,Landorus Therian,Ground,,Brown,Arms,,,,,,enamorus incarnate
310,1.6 m (5′03″),48.0 kg (105.8 lbs),"3 (0.4% with PokéBall, full HP)",50 (normal),116,Slow,Undiscovered,"0% male, 100% female","20 (4,884–5,140 steps)",74,258,352,115,211,361,110,202,350,135,247,405,100,184,328,46,87,210,enamorus therian,Haxorus,Dragon,,Yellow,Upright,,,,,,enamorus
311,2.1 m (6′11″),198.0 kg (436.5 lbs),"3 (0.4% with PokéBall, full HP)",35 (lower than normal),261,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)",115,340,434,115,211,361,85,157,295,90,166,306,75,139,273,100,184,328,entei,Entei,Fire,,Brown,Quadruped,True,False,False,False,False,entei
312,1.0 m (3′03″),33.0 kg (72.8 lbs),"75 (9.8% with PokéBall, full HP)",50 (normal),173,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",70,250,344,135,247,405,105,193,339,60,112,240,105,193,339,20,40,152,escavalier,Escavalier,Bug,Steel,Gray,Arms,False,False,False,False,False,escavalier
313,1.9 m (6′03″),90.0 kg (198.4 lbs),"60 (7.8% with PokéBall, full HP)",50 (normal),168,Medium Slow,Flying,"50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,60,112,240,60,112,240,101,186,331,60,112,240,105,193,339,espathra,Heatran,Fire,,Brown,Quadruped,,,,,,espathra
314,0.9 m (2′11″),26.5 kg (58.4 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),184,Medium Fast,Field,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",65,240,334,65,121,251,60,112,240,130,238,394,95,175,317,110,202,350,espeon,Espeon,Psychic,,Purple,Quadruped,False,False,False,False,False,espeon
315,0.3 m (1′00″),3.5 kg (7.7 lbs),"190 (24.8% with PokéBall, full HP)",50 (normal),71,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",62,234,328,48,90,214,54,101,227,63,117,247,60,112,240,68,126,258,espurr,Espurr,Psychic,,Gray,Upright,False,False,False,False,False,espurr
316,20.0 m (65′07″),950.0 kg (2094.4 lbs),"255 (33.3% with PokéBall, full HP)",0 (lower than normal),345,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",140,390,484,85,157,295,95,175,317,145,265,427,95,175,317,130,238,394,eternatus,Eternatus,Poison,Dragon,Purple,Wings,True,False,False,False,False,eternatus
317,100.0 m (328′01″),—,—,0 (lower than normal),563,Slow,Undiscovered,—,"120 (30,584–30,840 steps)",255,620,714,115,211,361,250,454,658,125,229,383,250,454,658,130,238,394,eternatus eternamax,Eternatus Eternamax,Poison,Dragon,Purple,Wings,True,False,False,False,True,eternatus eternamax
318,0.7 m (2′04″),40.4 kg (89.1 lbs),"60 (7.8% with PokéBall, full HP)",50 (normal),178,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",110,330,424,135,247,405,60,112,240,50,94,218,65,121,251,88,162,302,excadrill,Excadrill,Ground,Steel,Gray,Humanoid,False,False,False,False,False,excadrill
319,0.4 m (1′04″),2.5 kg (5.5 lbs),"90 (11.8% with PokéBall, full HP)",50 (normal),65,Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,40,76,196,80,148,284,60,112,240,45,85,207,40,76,196,exeggcute,Exeggcute,Grass,Psychic,Pink,Heads,False,False,False,False,False,exeggcute
320,2.0 m (6′07″),120.0 kg (264.6 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),186,Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,95,175,317,85,157,295,125,229,383,75,139,273,55,103,229,exeggutor,Exeggutor,Grass,Psychic,Yellow,Legs,False,False,False,False,False,exeggutor
321,10.9 m (35′09″),415.6 kg (916.2 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),186,Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,105,193,339,85,157,295,125,229,383,75,139,273,45,85,207,alolan exeggutor,Exeggutor,Grass,,Yellow,Legs,,,,,,exeggutor
322,1.5 m (4′11″),84.0 kg (185.2 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),221,Medium Slow,"Field, Monster","50% male, 50% female","20 (4,884–5,140 steps)",104,318,412,91,168,309,63,117,247,91,168,309,73,135,269,68,126,258,exploud,Exploud,Normal,,Blue,Upright,False,False,False,False,False,exploud
323,3.0 m (9′10″),62.0 kg (136.7 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),165,Medium Fast,"Fairy, Mineral",Genderless,"25 (6,169–6,425 steps)",65,240,334,100,184,328,100,184,328,70,130,262,60,112,240,75,139,273,falinks,Falinks,Fighting,,Yellow,Heads,False,False,False,False,False,falinks
324,0.8 m (2′07″),15.0 kg (33.1 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),132,Medium Fast,"Field, Flying","50% male, 50% female","20 (4,884–5,140 steps)",52,214,308,90,166,306,55,103,229,58,108,236,62,116,245,60,112,240,farfetch'd,Beartic,Ice,,White,Quadruped,,,,,,farfetch d
325,0.8 m (2′07″),42.0 kg (92.6 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),132,Medium Fast,"Field, Flying","50% male, 50% female","20 (4,884–5,140 steps)",52,214,308,95,175,317,55,103,229,58,108,236,62,116,245,55,103,229,galarian farfetch'd,Beartic,Ice,,White,Quadruped,,,,,,farfetch d
326,3.2 m (10′06″),160.0 kg (352.7 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),260,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",120,350,444,90,166,306,70,130,262,110,202,350,70,130,262,60,112,240,farigiraf,Girafarig,Normal,,Yellow,Quadruped,,,,,,farigiraf
327,1.2 m (3′11″),38.0 kg (83.8 lbs),"90 (11.8% with PokéBall, full HP)",50 (normal),155,Medium Fast,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",65,240,334,90,166,306,65,121,251,61,114,243,61,114,243,100,184,328,fearow,Fearow,Normal,Flying,Brown,Wings,False,False,False,False,False,fearow
328,0.6 m (2′00″),7.4 kg (16.3 lbs),"255 (33.3% with PokéBall, full HP)",50 (normal),40,Erratic,"Dragon, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",20,150,244,15,31,141,20,40,152,10,22,130,55,103,229,80,148,284,feebas,Feebas,Water,,Brown,Fish,False,False,False,False,False,feebas
329,0.4 m (1′04″),9.4 kg (20.7 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),61,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",40,190,284,45,85,207,40,76,196,62,116,245,60,112,240,60,112,240,fennekin,Fennekin,Fire,,Red,Quadruped,False,False,False,False,False,fennekin
330,2.3 m (7′07″),88.8 kg (195.8 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),239,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",85,280,374,105,193,339,100,184,328,79,146,282,83,153,291,78,144,280,feraligatr,Feraligatr,Water,,Blue,Upright,False,False,False,False,False,feraligatr
331,0.6 m (2′00″),18.8 kg (41.4 lbs),"255 (33.3% with PokéBall, full HP)",50 (normal),61,Medium Fast,"Grass, Mineral","50% male, 50% female","20 (4,884–5,140 steps)",44,198,292,50,94,218,91,168,309,24,47,161,86,159,298,10,22,130,ferroseed,Ferroseed,Grass,Steel,Gray,Ball,False,False,False,False,False,ferroseed
332,1.0 m (3′03″),110.0 kg (242.5 lbs),"90 (11.8% with PokéBall, full HP)",50 (normal),171,Medium Fast,"Grass, Mineral","50% male, 50% female","20 (4,884–5,140 steps)",74,258,352,94,173,315,131,240,397,54,101,227,116,213,364,20,40,152,ferrothorn,Ferrothorn,Grass,Steel,Gray,Tentacles,False,False,False,False,False,ferrothorn
333,1.4 m (4′07″),30.1 kg (66.4 lbs),"3 (0.4% with PokéBall, full HP)",—,—,Slow,Undiscovered,"100% male, 0% female",—,88,286,380,91,168,309,82,152,289,70,130,262,125,229,383,99,182,326,fezandipiti,Unfezant,Normal,,Gray,Wings,,,,,,fezandipiti
334,0.3 m (1′00″),10.9 kg (24.0 lbs),"190 (24.8% with PokéBall, full HP)",50 (normal),62,Medium Slow,"Field, Mineral","50% male, 50% female","20 (4,884–5,140 steps)",37,184,278,55,103,229,70,130,262,30,58,174,55,103,229,65,121,251,fidough,Nidoking,Poison,,Purple,Upright,,,,,,fidough
335,1.3 m (4′03″),60.2 kg (132.7 lbs),"200 (26.1% with PokéBall, full HP)",50 (normal),63,Slow,"Field, Water 2","50% male, 50% female","40 (10,024–10,280 steps)",70,250,344,45,85,207,40,76,196,45,85,207,40,76,196,75,139,273,finizen,Diancie,Rock,,Pink,Arms,,,,,,finizen
336,0.4 m (1′04″),7.0 kg (15.4 lbs),"190 (24.8% with PokéBall, full HP)",50 (normal),66,Erratic,Water 2,"50% male, 50% female","20 (4,884–5,140 steps)",49,208,302,49,92,216,56,105,232,49,92,216,61,114,243,66,123,254,finneon,Finneon,Water,,Blue,Fish,False,False,False,False,False,finneon
337,0.8 m (2′07″),13.3 kg (29.3 lbs),"120 (15.7% with PokéBall, full HP)",50 (normal),128,Medium Slow,"Field, Monster","50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,55,103,229,55,103,229,80,148,284,60,112,240,45,85,207,flaaffy,Flaaffy,Electric,,Pink,Upright,False,False,False,False,False,flaaffy
338,0.1 m (0′04″),0.1 kg (0.2 lbs),"225 (29.4% with PokéBall, full HP)",50 (normal),61,Medium Fast,Fairy,"0% male, 100% female","20 (4,884–5,140 steps)",44,198,292,38,72,192,39,74,194,61,114,243,79,146,282,42,80,201,flabébé,Vullaby,Dark,,Brown,Wings,,,,,,flab b
339,1.6 m (5′03″),37.0 kg (81.6 lbs),"100 (13.1% with PokéBall, full HP)",50 (normal),175,Medium Slow,Flying,"50% male, 50% female","20 (4,884–5,140 steps)",82,274,368,115,211,361,74,137,271,75,139,273,64,119,249,90,166,306,flamigo,Glameow,Normal,,Gray,Quadruped,,,,,,flamigo
340,0.3 m (1′00″),1.0 kg (2.2 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),170,Erratic,"Dragon, Grass","50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,110,202,350,80,148,284,95,175,317,60,112,240,70,130,262,flapple,Flapple,Grass,Dragon,Green,Wings,False,False,False,False,False,flapple
341,0.9 m (2′11″),25.0 kg (55.1 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),184,Medium Fast,Field,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",65,240,334,130,238,394,60,112,240,95,175,317,110,202,350,65,121,251,flareon,Flareon,Fire,,Red,Quadruped,False,False,False,False,False,flareon
342,0.7 m (2′04″),16.0 kg (35.3 lbs),"120 (15.7% with PokéBall, full HP)",50 (normal),134,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",62,234,328,73,135,269,55,103,229,56,105,232,52,98,223,84,155,293,fletchinder,Fletchinder,Fire,Flying,Red,Wings,False,False,False,False,False,fletchinder
343,0.3 m (1′00″),1.7 kg (3.7 lbs),"255 (33.3% with PokéBall, full HP)",50 (normal),56,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",45,200,294,50,94,218,43,81,203,40,76,196,38,72,192,62,116,245,fletchling,Fletchling,Normal,Flying,Red,Wings,False,False,False,False,False,fletchling
344,0.2 m (0′08″),1.5 kg (3.3 lbs),"120 (15.7% with PokéBall, full HP)",50 (normal),51,Medium Slow,Flying,"50% male, 50% female","20 (4,884–5,140 steps)",30,170,264,35,67,185,30,58,174,55,103,229,30,58,174,75,139,273,flittle,Blitzle,Electric,,Black,Quadruped,,,,,,flittle
345,1.1 m (3′07″),33.5 kg (73.9 lbs),"75 (9.8% with PokéBall, full HP)",50 (normal),173,Medium Fast,"Field, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",85,280,374,105,193,339,55,103,229,85,157,295,50,94,218,115,211,361,floatzel,Floatzel,Water,,Brown,Quadruped,False,False,False,False,False,floatzel
346,0.2 m (0′08″),0.9 kg (2.0 lbs),"120 (15.7% with PokéBall, full HP)",50 (normal),130,Medium Fast,Fairy,"0% male, 100% female","20 (4,884–5,140 steps)",54,218,312,45,85,207,47,89,212,75,139,273,98,180,324,52,98,223,floette,Floette,Fairy,,White,Arms,False,False,False,False,False,floette
347,0.9 m (2′11″),12.2 kg (26.9 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),144,Medium Slow,"Field, Grass","87.5% male, 12.5% female","20 (4,884–5,140 steps)",61,232,326,80,148,284,63,117,247,60,112,240,63,117,247,83,153,291,floragato,Sunflora,Grass,,Yellow,Humanoid,,,,,,floragato
348,1.1 m (3′07″),10.0 kg (22.0 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),276,Medium Fast,Fairy,"0% male, 100% female","20 (4,884–5,140 steps)",78,266,360,65,121,251,68,126,258,112,206,355,154,281,447,75,139,273,florges,Florges,Fairy,,White,Arms,False,False,False,False,False,florges
349,1.4 m (4′07″),4.0 kg (8.8 lbs),"30 (3.9% with PokéBall, full HP)",0 (lower than normal),285,Slow,Undiscovered,Genderless,"50 (12,594–12,850 steps)",55,220,314,55,103,229,55,103,229,135,247,405,135,247,405,135,247,405,flutter mane,Hatterene,Psychic,,Pink,Blob,,,,,,flutter mane
350,2.0 m (6′07″),82.0 kg (180.8 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),234,Medium Slow,"Bug, Dragon","50% male, 50% female","20 (4,884–5,140 steps)",80,270,364,100,184,328,80,148,284,80,148,284,80,148,284,100,184,328,flygon,Flygon,Ground,Dragon,Green,Wings,False,False,False,False,False,flygon
351,0.3 m (1′00″),1.5 kg (3.3 lbs),"190 (24.8% with PokéBall, full HP)",50 (normal),50,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,55,103,229,35,67,185,50,94,218,35,67,185,35,67,185,fomantis,Fomantis,Grass,,Pink,Upright,False,False,False,False,False,fomantis
352,0.2 m (0′08″),1.0 kg (2.2 lbs),"190 (24.8% with PokéBall, full HP)",50 (normal),59,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",69,248,342,55,103,229,45,85,207,55,103,229,55,103,229,15,31,141,foongus,Foongus,Grass,Poison,White,Arms,False,False,False,False,False,foongus
353,1.2 m (3′11″),125.8 kg (277.3 lbs),"75 (9.8% with PokéBall, full HP)",50 (normal),163,Medium Fast,Bug,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,90,166,306,140,256,416,60,112,240,60,112,240,40,76,196,forretress,Forretress,Bug,Steel,Purple,Ball,False,False,False,False,False,forretress
354,1.0 m (3′03″),36.0 kg (79.4 lbs),"60 (7.8% with PokéBall, full HP)",35 (lower than normal),144,Slow,"Dragon, Monster","50% male, 50% female","40 (10,024–10,280 steps)",66,242,336,117,215,366,70,130,262,40,76,196,50,94,218,67,125,256,fraxure,Fraxure,Dragon,,Green,Upright,False,False,False,False,False,fraxure
355,0.5 m (1′08″),17.0 kg (37.5 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),64,Slow,"Dragon, Mineral","50% male, 50% female","40 (10,024–10,280 steps)",65,240,334,75,139,273,45,85,207,35,67,185,45,85,207,55,103,229,frigibax,Girafarig,Normal,,Yellow,Quadruped,,,,,,frigibax
356,1.2 m (3′11″),33.0 kg (72.8 lbs),"190 (24.8% with PokéBall, full HP)",50 (normal),67,Medium Fast,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,40,76,196,50,94,218,65,121,251,85,157,295,40,76,196,frillish,Frillish,Water,Ghost,White,Tentacles,False,False,False,False,False,frillish
357,0.3 m (1′00″),7.0 kg (15.4 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),63,Medium Slow,Water 1,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",41,192,286,56,105,232,40,76,196,62,116,245,44,83,205,71,132,265,froakie,Froakie,Water,,Blue,Quadruped,False,False,False,False,False,froakie
358,0.6 m (2′00″),10.9 kg (24.0 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,Water 1,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",54,218,312,63,117,247,52,98,223,83,153,291,56,105,232,97,179,322,frogadier,Frogadier,Water,,Blue,Humanoid,False,False,False,False,False,frogadier
359,1.3 m (4′03″),26.6 kg (58.6 lbs),"75 (9.8% with PokéBall, full HP)",50 (normal),168,Medium Fast,"Fairy, Mineral","0% male, 100% female","20 (4,884–5,140 steps)",70,250,344,80,148,284,70,130,262,80,148,284,70,130,262,110,202,350,froslass,Froslass,Ice,Ghost,White,Arms,False,False,False,False,False,froslass
360,1.3 m (4′03″),42.0 kg (92.6 lbs),"75 (9.8% with PokéBall, full HP)",50 (normal),166,Medium Fast,Bug,"50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,65,121,251,60,112,240,125,229,383,90,166,306,65,121,251,frosmoth,Frosmoth,Ice,Bug,White,Bug-Wings,False,False,False,False,False,frosmoth
361,0.4 m (1′04″),9.8 kg (21.6 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",67,244,338,45,85,207,59,110,238,63,117,247,40,76,196,36,69,188,fuecoco,Cubchoo,Ice,,White,Upright,,,,,,fuecoco
362,1.2 m (3′11″),28.0 kg (61.7 lbs),"160 (20.9% with PokéBall, full HP)",50 (normal),165,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,80,148,284,60,112,240,65,121,251,90,166,306,102,188,333,furfrou,Furfrou,Normal,,White,Quadruped,False,False,False,False,False,furfrou
363,1.8 m (5′11″),32.5 kg (71.7 lbs),"90 (11.8% with PokéBall, full HP)",50 (normal),145,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",85,280,374,76,141,276,64,119,249,45,85,207,55,103,229,90,166,306,furret,Furret,Normal,,Brown,Quadruped,False,False,False,False,False,furret
364,1.4 m (4′07″),56.0 kg (123.5 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),144,Slow,"Dragon, Monster","50% male, 50% female","40 (10,024–10,280 steps)",68,246,340,90,166,306,65,121,251,50,94,218,55,103,229,82,152,289,gabite,Gabite,Dragon,Ground,Blue,Upright,False,False,False,False,False,gabite
365,1.6 m (5′03″),52.0 kg (114.6 lbs),"45 (5.9% with PokéBall, full HP)",35 (lower than normal),259,Slow,"Amorphous, Human-Like","100% male, 0% female","20 (4,884–5,140 steps)",68,246,340,125,229,383,65,121,251,65,121,251,115,211,361,80,148,284,gallade,Gallade,Psychic,Fighting,White,Humanoid,False,False,False,False,False,gallade
366,1.6 m (5′03″),56.4 kg (124.3 lbs),"45 (5.9% with PokéBall, full HP)",35 (lower than normal),278,Slow,Amorphous,"100% male, 0% female","20 (4,884–5,140 steps)",68,246,340,165,301,471,95,175,317,65,121,251,115,211,361,110,202,350,mega gallade,Gallade,Psychic,,White,Humanoid,,,,,,gallade
367,0.8 m (2′07″),14.3 kg (31.5 lbs),"75 (9.8% with PokéBall, full HP)",50 (normal),165,Medium Fast,Bug,"50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,77,143,278,60,112,240,97,179,322,60,112,240,108,198,346,galvantula,Galvantula,Bug,Electric,Yellow,Armor,False,False,False,False,False,galvantula
368,1.9 m (6′03″),107.3 kg (236.6 lbs),"60 (7.8% with PokéBall, full HP)",50 (normal),166,Medium Fast,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",80,270,364,95,175,317,82,152,289,60,112,240,82,152,289,75,139,273,garbodor,Garbodor,Poison,,Green,Humanoid,False,False,False,False,False,garbodor
369,1.9 m (6′03″),95.0 kg (209.4 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),300,Slow,"Dragon, Monster","50% male, 50% female","40 (10,024–10,280 steps)",108,326,420,130,238,394,95,175,317,80,148,284,85,157,295,102,188,333,garchomp,Garchomp,Dragon,Ground,Blue,Upright,False,False,False,False,False,garchomp
370,1.9 m (6′03″),95.0 kg (209.4 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),315,Slow,"Dragon, Monster","50% male, 50% female","40 (10,024–10,280 steps)",108,326,420,170,310,482,115,211,361,120,220,372,95,175,317,92,170,311,mega garchomp,Garchomp,Dragon,,Blue,Upright,,,,,,garchomp
371,1.6 m (5′03″),48.4 kg (106.7 lbs),"45 (5.9% with PokéBall, full HP)",35 (lower than normal),259,Slow,"Amorphous, Human-Like","50% male, 50% female","20 (4,884–5,140 steps)",68,246,340,65,121,251,65,121,251,125,229,383,115,211,361,80,148,284,gardevoir,Gardevoir,Psychic,Fairy,White,Humanoid,False,False,False,False,False,gardevoir
372,1.6 m (5′03″),48.4 kg (106.7 lbs),"45 (5.9% with PokéBall, full HP)",35 (lower than normal),278,Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",68,246,340,85,157,295,65,121,251,165,301,471,135,247,405,100,184,328,mega gardevoir,Gardevoir,Psychic,,White,Humanoid,,,,,,gardevoir
373,2.3 m (7′07″),240.0 kg (529.1 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),250,Medium Slow,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",100,310,404,100,184,328,130,238,394,45,85,207,90,166,306,35,67,185,garganacl,Naganadel,Poison,,Purple,Wings,,,,,,garganacl
